"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Tests the lock and unlock functionality for a row with input area and dropdowns.
    Verifies that the input area and dropdowns are not interactable when locked and interactable when unlocked.
    ","75787","test_lock_unlock_configuration[chromium]","tests.Automation_tests","Mon Sep 22 16:20:09 IST 2025","passed","Mon Sep 22 16:21:25 IST 2025","","test_admin_playout","",""
"
    Tests the 6X live preview playout functionality.
    Verifies the content being played out and checks logs for validation.
    ","37712","test_Administrator_6xLive_preview_playout_Fixed[chromium]","tests.Automation_tests","Mon Sep 22 16:12:23 IST 2025","passed","Mon Sep 22 16:13:00 IST 2025","","test_admin_playout","",""
"
    Tests manual live playout functionality.
    Selects live content and manual mode, then verifies that the correct story is being played.
    Validates the playout by checking logs and database entries.
    ","80809","test_Administrator_live_playout_manual[chromium]","tests.Automation_tests","Mon Sep 22 16:10:19 IST 2025","failed","Mon Sep 22 16:11:40 IST 2025","","test_admin_playout","",""
"
    Tests fixed live playout functionality.
    Selects a channel for live playout and verifies that the correct content is being played.
    Includes validation through logs and database checks.
    ","39848","test_Administrator_live_playout_Fixed[chromium]","tests.Automation_tests","Mon Sep 22 16:11:42 IST 2025","passed","Mon Sep 22 16:12:21 IST 2025","","test_admin_playout","",""
"","83413","test_export_as_cv[chromium]","tests.Automation_tests","Mon Sep 22 16:17:22 IST 2025","passed","Mon Sep 22 16:18:45 IST 2025","","test_admin_playout","",""
"","80764","test_clear_all_items_playout_history[chromium]","tests.Automation_tests","Mon Sep 22 16:18:47 IST 2025","passed","Mon Sep 22 16:20:07 IST 2025","","test_admin_playout","",""
"
    Tests the automatic file playout functionality.
    Navigates to the admin playout page and selects 'fileplayout' and 'auto' options.
    Verifies the addition of stories and checks logs.
    Includes a negative scenario where it switches to 'manual' mode to ensure the automatic process is not active.
    ","62611","test_Administrator_file_playout_auto[chromium]","tests.Automation_tests","Mon Sep 22 16:09:15 IST 2025","passed","Mon Sep 22 16:10:18 IST 2025","","test_admin_playout","",""
"
    Tests file playout in a loop mode.
    Configures the loop setting and verifies the playout of stories in a loop.
    Checks logs and database entries for validation.
    ","68095","test_Administrator_file_playout_loop[chromium]","tests.Automation_tests","Mon Sep 22 16:08:06 IST 2025","passed","Mon Sep 22 16:09:14 IST 2025","","test_admin_playout","",""
"
    Tests the playout controls (play, pause, stop) functionality.
    Verifies the behavior of the controls and logs the current status.
    ","101582","test_playout_controls[chromium]","tests.Automation_tests","Mon Sep 22 16:15:39 IST 2025","broken","Mon Sep 22 16:17:21 IST 2025","","test_admin_playout","",""
"","49070","test_when_there_is_no_video_playout_a_waiting_video[chromium]","tests.Automation_tests","Mon Sep 22 16:21:26 IST 2025","broken","Mon Sep 22 16:22:15 IST 2025","","test_admin_playout","",""
"
    Tests the functionality of manually playing out files.
    Navigates to the admin playout page and selects 'fileplayout' and 'manual' options from dropdowns.
    Initiates playout for stories and verifies logs.
    Includes a negative scenario to verify that the playout button isn't clickable when 'manual' mode isn't selected.
    ","156148","test_Administrator_file_playout_manual[chromium]","tests.Automation_tests","Mon Sep 22 16:05:28 IST 2025","passed","Mon Sep 22 16:08:05 IST 2025","","test_admin_playout","",""
"
    Tests the RLS broadcast playout functionality.
    Verifies the currently playing and upcoming videos, with validation through logs and database checks.

    ","26371","test_Administrator_RLS_preview_playout_Fixed[chromium]","tests.Automation_tests","Mon Sep 22 16:13:02 IST 2025","passed","Mon Sep 22 16:13:28 IST 2025","","test_admin_playout","",""
"
    Tests enabling and disabling a channel on the admin playout page.
    Navigates through various pages and verifies the channel status before and after enabling/disabling.
    ","81464","test_enable_disable_channel[chromium]","tests.Automation_tests","Mon Sep 22 16:13:29 IST 2025","passed","Mon Sep 22 16:14:51 IST 2025","","test_admin_playout","",""
"

    Tests the presence of playout and playlist buttons.
    Navigates through different content sources and modes to verify the visibility of buttons on the UI.

    ","45475","test_playout_playlist_button[chromium]","tests.Automation_tests","Mon Sep 22 16:14:52 IST 2025","broken","Mon Sep 22 16:15:38 IST 2025","","test_admin_playout","",""
